date,code,name,close_price,total_score
20260515,000159,国际实业,7.02,40.82
20260518,000159,国际实业,6.99,35.62
20260519,000159,国际实业,7.14,38.81
20260520,000159,国际实业,7.06,38.82
20260521,000159,国际实业,6.8,30.04
20260522,000159,国际实业,7.09,30.64
20260525,000159,国际实业,6.92,25.23
20260512,000166,申万宏源,4.78,24.36
20260513,000166,申万宏源,4.75,20.78
20260514,000166,申万宏源,4.67,20.83
20260515,000166,申万宏源,4.62,22.87
20260518,000166,申万宏源,4.47,17.18
20260519,000166,申万宏源,4.52,19.34
20260520,000166,申万宏源,4.47,16.38
20260521,000166,申万宏源,4.47,22.38
20260522,000166,申万宏源,4.42,22.38
20260525,000166,申万宏源,4.45,22.19
20260512,000301,东方盛虹,12.95,45.73
20260513,000301,东方盛虹,12.83,42.83
20260514,000301,东方盛虹,13.06,44.23
20260515,000301,东方盛虹,13.1,46.83
20260518,000301,东方盛虹,12.56,42.23
20260519,000301,东方盛虹,12.62,38.83
20260520,000301,东方盛虹,12.72,39.43
20260521,000301,东方盛虹,12.52,34.83
20260522,000301,东方盛虹,12.39,35.83
20260525,000301,东方盛虹,12.39,37.53
20260512,000333,美的集团,80.09,27.82
20260513,000333,美的集团,80.38,33.8
20260514,000333,美的集团,81.81,35.29
20260515,000333,美的集团,82.91,39.2
20260518,000333,美的集团,82.83,42.21
20260519,000333,美的集团,81.0,36.45
20260520,000333,美的集团,81.5,37.81
20260521,000333,美的集团,81.5,33.51
20260522,000333,美的集团,80.28,33.61
20260525,000333,美的集团,79.81,26.24
20260512,000338,潍柴动力,32.7,38.54
20260513,000338,潍柴动力,34.34,39.43
20260514,000338,潍柴动力,34.2,41.74
20260515,000338,潍柴动力,35.37,41.86
20260518,000338,潍柴动力,33.3,38.5
20260519,000338,潍柴动力,33.15,43.41
20260520,000338,潍柴动力,32.61,41.24
20260521,000338,潍柴动力,32.28,33.87
20260522,000338,潍柴动力,34.01,35.97
20260525,000338,潍柴动力,35.1,48.88
20260512,000403,派林生物,11.78,7.82
20260513,000403,派林生物,11.71,6.82
20260514,000403,派林生物,11.35,8.42
20260515,000403,派林生物,11.31,6.42
20260518,000403,派林生物,10.76,9.42
20260519,000403,派林生物,10.82,8.42
20260520,000403,派林生物,10.5,5.52
20260521,000403,派林生物,11.55,20.62
20260522,000403,派林生物,11.51,19.72
20260525,000403,派林生物,12.16,24.12
20260512,000408,藏格矿业,88.02,51.6
20260513,000408,藏格矿业,91.11,62.18
20260514,000408,藏格矿业,87.68,54.71
20260515,000408,藏格矿业,85.84,46.78
20260518,000408,藏格矿业,80.14,38.43
20260519,000408,藏格矿业,80.16,38.33
20260520,000408,藏格矿业,79.91,39.94
20260521,000408,藏格矿业,78.19,37.43
20260522,000408,藏格矿业,80.96,38.53
20260525,000408,藏格矿业,79.2,40.28
20260512,000420,吉林化纤,5.43,37.78
20260513,000420,吉林化纤,5.45,36.78
20260514,000420,吉林化纤,5.14,30.58
20260515,000420,吉林化纤,5.18,25.58
20260518,000420,吉林化纤,5.17,19.58
20260519,000420,吉林化纤,4.92,17.18
20260520,000420,吉林化纤,4.89,13.98
20260521,000420,吉林化纤,4.67,15.58
20260522,000420,吉林化纤,4.8,14.38
20260525,000420,吉林化纤,4.71,13.38
20260512,000422,湖北宜化,15.96,34.76
20260513,000422,湖北宜化,15.96,38.76
20260514,000422,湖北宜化,15.19,33.52
20260515,000422,湖北宜化,15.64,45.23
20260518,000422,湖北宜化,15.04,37.55
20260519,000422,湖北宜化,14.84,32.6
20260520,000422,湖北宜化,14.85,38.8
20260521,000422,湖北宜化,14.41,33.1
20260522,000422,湖北宜化,14.37,34.3
20260525,000422,湖北宜化,14.23,32.14
20260512,000423,东阿阿胶,53.18,34.61
20260513,000423,东阿阿胶,52.8,34.64
20260514,000423,东阿阿胶,53.2,37.61
20260515,000423,东阿阿胶,52.93,34.73
20260518,000423,东阿阿胶,50.74,31.68
20260519,000423,东阿阿胶,50.8,36.98
20260520,000423,东阿阿胶,50.6,33.89
20260521,000423,东阿阿胶,49.65,31.97
20260522,000423,东阿阿胶,49.52,31.57
20260525,000423,东阿阿胶,48.21,32.68
20260512,000425,徐工机械,10.47,34.4
20260513,000425,徐工机械,10.52,31.98
20260514,000425,徐工机械,10.25,28.38
20260515,000425,徐工机械,10.4,31.23
20260518,000425,徐工机械,9.46,22.93
20260519,000425,徐工机械,9.4,16.95
20260520,000425,徐工机械,9.48,19.83
20260521,000425,徐工机械,9.57,20.5
20260522,000425,徐工机械,9.65,20.6
