code,name,关注度,单日涨跌幅,股息率,今年相对大盘强弱,财报,5日涨跌幅,行业相对强弱,新闻,资金流向,total_score
001337,四川黄金,1.0,4,1.76,10,19.25,4,8.6,1.0,2,51.61
002364,中恒电气,5.3,2,0.41,10,7.85,8,6.0,4.0,8,51.56
300913,兆龙互连,2.0,6,0.56,6,15.93,4,3.0,5.0,9,51.49
600575,淮河能源,1.8,5,8.07,6,9.8,6,3.8,5.0,6,51.47
301207,华兰疫苗,1.0,6,6.6,6,14.03,6,3.8,2.0,6,51.43
002938,鹏鼎控股,5.8,6,2.38,10,-2.75,10,10.0,7.0,3,51.43
600158,中体产业,2.4,2,0.0,10,17.56,6,8.4,1.0,4,51.36
600105,永鼎股份,6.6,1,0.06,10,2.64,10,10.0,4.0,7,51.3
000950,重药控股,1.0,2,0.89,8,12.61,10,6.8,1.0,9,51.3
300607,拓斯达,1.0,6,0.2,2,20.0,6,6.0,2.0,8,51.2
605376,博迁新材,1.0,6,0.16,10,20.0,2,5.0,1.0,6,51.16
605117,德业股份,3.9,6,2.38,10,20.0,4,3.8,0.0,1,51.08
603893,瑞芯微,3.7,5,1.37,3,20.0,4,3.0,4.0,7,51.07
000600,建投能源,1.5,3,4.29,8,12.29,4,4.4,8.5,5,50.98
603019,中科曙光,6.8,6,0.78,6,15.24,4,5.0,2.0,5,50.82
301377,鼎泰高科,2.9,5,0.44,10,20.0,4,2.4,1.0,5,50.74
300672,国科微,1.0,2,0.0,10,6.94,10,8.8,4.0,8,50.74
601899,紫金矿业,6.8,4,2.27,3,19.23,4,1.4,6.0,4,50.7
600353,旭光电子,1.0,0,0.66,10,3.03,10,10.0,7.0,9,50.69
688486,龙迅股份,2.1,2,2.49,6,15.64,6,6.4,1.0,9,50.63
600186,莲花控股,5.9,4,0.0,10,18.3,2,8.4,2.0,0,50.6
688256,寒武纪,6.3,7,0.24,2,19.0,2,3.0,4.0,7,50.54
605099,共创草坪,1.0,4,3.41,10,11.72,4,7.4,5.0,4,50.53
002127,南极电商,1.0,4,3.72,3,14.97,8,6.8,1.0,8,50.49
000848,承德露露,1.8,3,8.39,6,8.26,4,5.0,7.0,7,50.45
688472,阿特斯,1.0,2,1.29,4,15.33,8,6.8,7.0,5,50.42
300855,图南股份,1.7,4,0.77,8,18.48,4,2.4,1.0,10,50.35
688362,甬矽电子,1.8,4,0.0,10,13.52,6,3.0,7.0,5,50.32
002023,海特高新,4.5,6,0.0,4,15.61,8,6.2,1.0,5,50.31
688223,晶科能源,1.0,6,0.0,10,7.64,8,5.6,2.0,10,50.24
301268,铭利达,1.0,5,0.0,10,19.21,4,3.0,1.0,7,50.21
300059,东方财富,7.0,5,0.99,2,17.95,4,3.2,4.0,6,50.14
600338,西藏珠峰,4.3,5,0.18,10,18.24,2,7.4,2.0,1,50.12
002460,赣锋锂业,5.7,4,0.38,10,20.0,2,2.0,4.0,2,50.08
600019,宝钢股份,3.4,4,5.11,2,16.36,6,3.2,2.0,8,50.07
000737,北方铜业,1.0,6,1.82,3,19.63,6,5.6,1.0,6,50.05
000552,甘肃能化,1.0,4,0.0,8,19.62,4,8.4,2.0,3,50.02
688182,灿勤科技,1.9,4,0.34,8,2.76,10,10.0,5.0,8,50.0
603308,应流股份,4.5,7,0.43,10,16.07,2,6.0,1.0,3,50.0
600482,中国动力,2.0,4,1.04,10,15.93,6,3.0,4.0,4,49.97
603296,华勤技术,2.6,4,0.0,10,6.32,6,6.0,5.0,10,49.92
603057,紫燕食品,1.0,6,1.28,10,19.21,4,7.4,0.0,1,49.89
603099,长白山,1.9,3,0.77,2,18.42,8,5.8,1.0,9,49.89
000792,盐湖股份,5.4,4,0.0,8,20.0,2,0.4,7.0,3,49.8
603915,国茂股份,1.0,4,1.08,4,12.86,10,8.8,0.0,8,49.74
000567,海德股份,1.0,6,0.0,3,20.0,4,8.6,1.0,6,49.6
600872,中炬高新,1.4,3,4.23,8,16.86,4,5.0,1.0,6,49.49
002202,金风科技,3.5,5,1.54,10,19.5,2,3.8,2.0,2,49.34
000791,甘肃能源,2.5,6,4.52,10,0.87,10,7.4,4.0,4,49.29
600460,士兰微,1.0,4,0.51,6,8.61,8,3.6,8.5,9,49.22
688202,美迪西,1.8,2,0.0,8,20.0,8,1.4,2.0,6,49.2
600744,华银电力,2.3,6,0.0,10,14.5,4,7.4,1.0,4,49.2
000899,赣能股份,1.5,5,7.02,10,6.42,4,3.2,4.0,8,49.14
002415,海康威视,5.0,5,4.32,6,16.77,2,2.0,7.0,1,49.09
300098,高新兴,1.0,6,0.0,3,19.82,6,4.2,1.0,8,49.02
600509,天富能源,1.9,5,1.63,8,0.4,10,9.0,4.0,9,48.93
002650,ST加加,1.7,1,0.0,10,16.18,10,5.0,1.0,4,48.88
002947,恒铭达,1.0,4,1.21,10,15.95,4,7.6,0.0,5,48.76
002484,江海股份,3.4,4,1.13,10,6.15,6,10.0,0.0,8,48.68
688158,优刻得,2.6,5,0.0,10,17.85,2,3.2,4.0,4,48.65
002563,森马服饰,1.0,4,4.76,6,17.25,4,5.6,2.0,4,48.61
300602,飞荣达,3.4,3,0.32,6,18.88,4,3.0,2.0,8,48.6
300031,宝通科技,1.0,6,0.87,4,19.0,4,5.6,0.0,8,48.47
603588,高能环境,1.0,2,1.35,10,20.0,4,2.0,2.0,6,48.35
600531,豫光金铅,1.0,2,2.57,10,9.7,8,9.0,1.0,5,48.27
300750,宁德时代,6.9,2,1.02,8,20.0,2,3.2,4.0,1,48.12
002158,汉钟精机,1.0,6,2.81,10,3.28,6,10.0,1.0,8,48.09
688111,金山办公,3.1,5,0.98,2,18.74,2,3.2,7.0,6,48.02
688548,广钢气体,1.6,4,0.4,10,15.57,8,6.4,0.0,2,47.97
000975,山金国际,2.0,4,3.56,6,20.0,4,1.4,3.0,4,47.96
603876,鼎胜新材,3.7,2,0.9,10,15.81,2,7.4,4.0,2,47.81
301487,盟固利,1.5,6,0.05,6,19.63,4,5.6,0.0,5,47.78
002536,飞龙股份,4.7,6,1.33,10,-5.0,10,9.6,3.0,8,47.63
601609,金田股份,1.0,1,2.11,8,4.36,10,9.0,4.0,8,47.47
603297,永新光学,1.6,4,1.27,10,0.99,10,9.6,1.0,9,47.46
603259,药明康德,4.9,5,3.07,6,16.94,2,1.4,5.0,3,47.31
002468,申通快递,1.0,2,1.28,8,20.0,4,5.0,5.0,1,47.28
000157,中联重科,2.8,4,4.84,2,20.0,2,1.6,7.0,3,47.24
600066,宇通客车,1.0,2,8.48,6,17.11,4,2.6,5.0,1,47.19
